gan'zhi'gan 乾之乾：道陟石阪，胡言连蹇。译喑且聋，莫使道通。请谒不行，求事无功。
kun'zhi'yi 坤之益：鹤盗我珠，逃于东隅。求之郭墟，不见所居。
kun'zhi'kuai 坤之夬：一簧两舌，妄言谬语。三奸成虎，曾母投杼。
kun'zhi'gou 坤之姤：孤独特处，莫与为旅。身日劳苦，使布五谷，阴阳顺序。
kun'zhi'cui 坤之萃：褰衣涉河，涧流浚多。赖遇舟子，济脱无他。
kun'zhi'sheng 坤之升：凭河登山，道路阻难，求事少便。
kun'zhi'kun 坤之困：兔罝之容，不失其恭。和谦致乐，君子攸同。
kun'zhi'jing 坤之井：三女求夫，伺候山隅。不见复关，泣涕涟如。
kun'zhi'ge 坤之革：螟虫为贼，害我五谷。中溜空虚，家无所食。
kun'zhi'ding 坤之鼎：望尚阿衡，太宰国公。藩屏辅弼，福禄来同。
kun'zhi'zhen 坤之震：三年生狗，以戌为母。荆夷上侵，姬伯出走。
kun'zhi'gen 坤之艮：涂遏道塞，求事不得。
kun'zhi'jian 坤之渐：探怀得蚤，无有凶忧。所愿失道，善居渐好。
kun'zhi'gui'mei 坤之归妹：飞楼属道，趾多搅垣。居之不安，覆厌为患。
kun'zhi'feng 坤之丰：义不胜情，以欲自倾。几危利宠，折角摧颈。
kun'zhi'lv 坤之旅：潼滃蔚荟，扶首来会。津液来降，流淹滂霈。
kun'zhi'xun 坤之巽：白驹生刍，猗猗盛姝。赫喧君子，乐以忘忧。
kun'zhi'dui 坤之兑：车驰人趍，卷甲相仇。齐鲁寇战，败于犬丘。
kun'zhi'huan 坤之涣：举首望城，不见子贞，使我悔生。
kun'zhi'jie 坤之节：龙鬭时门，失理伤贤。内畔外贼，则生祸难。
kun'zhi'zhong'fu 坤之中孚：安如泰山，福喜屡臻。虽有豺虎，不致危身。
kun'zhi'xiao'guo 坤之小过：初忧后喜，与福为市。八佾列陈，饮御嘉友。
kun'zhi'ji'ji 坤之既济：持刀操肉，对酒不食。夫行从军，小子入狱，抱膝独宿。
kun'zhi'wei'ji 坤之未济：阴衰老极，阳建其德。履离戴光，天下昭明。功业不长，虾?代王。
tun'zhi'tun 屯之屯：兵征大宛，北出玉关。与胡寇战，平城道西，七日绝粮，身几不全。
tun'zhi'gan 屯之乾：泛泛柏舟，流行不休。耿耿寤寐，心怀大忧。仁不逢时，复隐穷居。
tun'zhi'kun 屯之坤：采薪得麟，大命陨颠。豪雄争名，天下四分。
tun'zhi'meng 屯之蒙：山崩谷绝，天福尽竭。泾渭失纪，玉厤尽已。
tun'zhi'xu 屯之需：夏台羑里，汤文所厄。鬼侯俞贿，商王解舍。
tun'zhi'song 屯之讼：泥津污辱，弃捐沟渎。所共笑哭，终不显录。
tun'zhi'shi 屯之师：李梅冬实，国多盗贼。扰乱并作，君不能息。
tun'zhi'bi 屯之比：獐鹿逐牧，饱归其居。反还次舍，无有疾故。
tun'zhi'xiao'xu 屯之小畜：夹河为婚，期至无船。淫心失望，不见所欢。
tun'zhi'lv 屯之履：百足俱行，相辅为强。三圣翼事，王室宠光。
tun'zhi'tai 屯之泰：坐位失处，不能自居。贼破王邑，阴阳颠倒。
tun'zhi'pi 屯之否：登几上舆，驾驷南游。合从散横，燕齐以强。
tun'zhi'tong'ren 屯之同人：三孙荷弩，无益于辅。城弱不守，邦君受讨。
tun'zhi'da'you 屯之大有：河伯大呼，津不得渡。船空无人，往来亦难。
tun'zhi'qian 屯之谦：甘露醴泉，太平机关。仁德感应，岁乐民安。
tun'zhi'yu 屯之豫：重茵厚席，循皋采藿。虽踬不惧，反复其宅。
tun'zhi'sui 屯之随：太乙驾骝，从天上来。徵我叔季，封为鲁侯。
tun'zhi'gu 屯之蛊：南巴六安，石解戟天。所指不已，耋老复丁。弊室旧墟，更为新家。
tun'zhi'lin 屯之临：家给人足，颂声并作。四夷宾伏，干戈韬阁。
tun'zhi'guan 屯之观：东邻嫁女，为王妃后。庄公筑馆，以尊王母。归于京师，季姜悦喜。
tun'zhi'ke'shi 屯之噬嗑：陈妻敬仲，兆兴齐姜。营丘是适，八世大昌。
tun'zhi'ben 屯之贲：路多枳棘，步刺我足。不利旅客，为心作毒。
tun'zhi'bo 屯之剥：天官列宿，五神共舍。宫阙光坚，君安其居。
tun'zhi'fu 屯之复：牧羊稻园，闻虎呻喧。惧畏惕息，终无祸患。
tun'zhi'wu'wang 屯之无妄：鸣条之图，北奔犬胡。左衽为长，国号匈奴。主君旄头，立尊单于。
tun'zhi'da'xu 屯之大畜：克身洁己，逢禹巡狩。锡我玄圭，拜受福佑。
tun'zhi'yi 屯之颐：冬华不实，国多盗贼。疾病难医，鬼哭其室。
tun'zhi'da'guo 屯之大过：襄送季女，至于荡道。齐子旦夕，留连久处。
tun'zhi'kan 屯之坎：朽根倒树，花叶落去。卒逢火焱，随风偃仆。
tun'zhi'li 屯之离：阴变为阳，女化作男。治道得通，君臣相承。
tun'zhi'xian 屯之咸：炎绝续光，火灭复明。简易理得，以成乾功。
tun'zhi'heng 屯之恒：多载重负，捐弃于野。予母谁子，但自劳苦。
tun'zhi'dun 屯之遯：江河海泽，众利安宅。可以富有，饮御嘉客。
tun'zhi'da'zhaung 屯之大壮：冬采薇兰，地冻坚坼。利走室北，暮无所得。
tun'zhi'jin 屯之晋：乌鸣嘻嘻，天火将起。燔我室屋，灾及姬后。
tun'zhi'ming'yi 屯之明夷：虿室蜂户，螫我手足。不可进取，为身害速。
tun'zhi'jia'ren 屯之家人：崔嵬北狱，天神贵客。温仁正直，主布恩德。开衣不已，蒙受大福。
tun'zhi'kui 屯之睽：伯蹇叔盲，莫与守床。失我衣裘，伐民除乡。
tun'zhi'jian 屯之蹇：为季求妇，家在东海。水长无船，不见所欢。
tun'zhi'jie 屯之解：山陵丘墓，魂魄失舍。精神尽竭，长寝不觉。
tun'zhi'sun 屯之损：踦牛失角，下山伤轴。失其利禄。
tun'zhi'yi 屯之益：水戴船舟，无根以浮。往往溶溶，心劳且忧。
tun'zhi'kuai 屯之夬：有鸟来飞，集于古树。鸣声可恶，主将出去。
tun'zhi'gou 屯之姤：东徙不时，触患离忧。井泥无濡，思叔旧居。
tun'zhi'cui 屯之萃：黄帝所生，伏羲之宇。兵刃不至，利以居止。
tun'zhi'sheng 屯之升：东山救乱，处妇思夫。劳我君子，役无休已。
tun'zhi'kun 屯之困：跛踬未起，先利后市，不得鹿子。
tun'zhi'jing 屯之井：大蛇当路，使季畏惧。汤火之灾，切近我肤。赖其天幸，趋于王庐。
tun'zhi'ge 屯之革：从容长闲，游戏南山。拜祠祷神，使神无患。
tun'zhi'ding 屯之鼎：区脱康居，慕义入朝。湛露之欢，三爵毕恩。复归野庐，与母相扶。
tun'zhi'zhen 屯之震：龟鳖列市，河海饶有。长钱善价，商李悦喜。
tun'zhi'gen 屯之艮：年常蒙庆，今岁受福。三夫采葩，出必有得。
tun'zhi'jian 屯之渐：二人俱东，道路争讼。意乖不同，使君忷忷。
tun'zhi'gui'mei 屯之归妹：树我藿豆，鹿兔为食。君不恤护，秋无收入。
tun'zhi'feng 屯之丰：黄鸟悲鸣，愁不见星。困于鸷鸟，鸇使我惊。
tun'zhi'lv 屯之旅：双凫俱飞，欲归稻食。经涉萑泽，为矢所射，伤我胸臆。
tun'zhi'xun 屯之巽：久客无依，思归我乡。雷雨盛溢，道未得通。
tun'zhi'dui 屯之兑：道路僻除，南至东辽。卫子善辞，使国无忧。
tun'zhi'huan 屯之涣：同枕同袍，中年相知。少贾无失，独居愁思。
tun'zhi'jie 屯之节：众神集众，相与议语。南国虐乱，百姓愁苦。兴师征讨，更立贤主。
tun'zhi'zhong'fu 屯之中孚：北陆闭蛰，隐伏不出。目盲耳聋，道路不通。
tun'zhi'xiao'guo 屯之小过：痴狂妄作，心诳善惑。迷行失路，不知南北。
tun'zhi'ji'ji 屯之既济：栋隆辅强，宠贵日光。福善并作，乐以高明。
tun'zhi'wei'ji 屯之未济：爱我婴女，牵衣不与。冀幸高贵，反曰贱下。
meng'zhi'meng 蒙之蒙：何草不黄，至未尽玄。室家分离，悲愁于心。
meng'zhi'gan 蒙之乾：海为水王，聪圣且明。百流归德，无有叛逆，常饶优足。
meng'zhi'kun 蒙之坤：天之所有，祸不过家。左辅右弼，金玉满堂。常盈不亡，富如敖仓。
meng'zhi'tun 蒙之屯：安息康居，异国穹庐。非吾习俗，使我心忧。
meng'zhi'xu 蒙之需：范公鸱夷，善贾饰资。东之营丘，易字子皮。把珠载金，多得利归。
meng'zhi'song 蒙之讼：老杨日衰，条多枯枝。爵级不进。遂下摧隤。
meng'zhi'shi 蒙之师：小狐渡水，污濡其尾。利得无几，与道合契。
meng'zhi'bi 蒙之比：豕生鱼鲂，鼠舞庭堂。奸佞施毒，上下昏荒，君失其国。
meng'zhi'xiao'xu 蒙之小畜：天地配享，六位光明。阴阳顺序，以成和平。
meng'zhi'lv 蒙之履：踝踵足伤，右指病痈。失旅后时，利走不来。
meng'zhi'tai 蒙之泰：异体殊患，各有所属。四邻孤媪，欲寄我室。王母骂詈，求不可得。
meng'zhi'pi 蒙之否：操耜乡亩，折货稷黍。饮食充口，安利无咎。
meng'zhi'tong'ren 蒙之同人：所受大喜，福禄重来。乐且日富，蒙庆得财。
meng'zhi'da'you 蒙之大有：举杯饮酒，无益温寒。指直失取，亡利不欢。
meng'zhi'qian 蒙之谦：日月相望，光明盛昌。三圣茂承，功德大隆。
meng'zhi'yu 蒙之豫：猾夫争强，民去其乡。公孙叔子，战于潇湘。
meng'zhi'sui 蒙之随：猿堕高木，不踒手足。还归其室，保我金玉。
meng'zhi'gu 蒙之蛊：逐狐东山，水遏我前。深不可涉，失利后便。
meng'zhi'lin 蒙之临：凿井求玉，非卞氏宝。名困身辱，劳无所得。
meng'zhi'guan 蒙之观：黄玉温厚，君子所服。甘露溽暑，万物生茂。
meng'zhi'ke'shi 蒙之噬嗑：画龙头颈，文章不成。甘言善语，说辞无名。
meng'zhi'ben 蒙之贲：招祸致凶，来弊我邦。病在手足，不得安息。
meng'zhi'bo 蒙之剥：履位乘势，靡有绝毙。皆为隶圉，与众庶伍。
meng'zhi'fu 蒙之复：獐鹿雉兔，群聚东囿。卢黄白脊，俱往趋逐。九齚十得，君子有喜。
meng'zhi'wu'wang 蒙之无妄：织金未成，纬画无名。长子逐兔，鹿起失路。后利不得，因无所据。
meng'zhi'da'xu 蒙之大畜：天厌周德，命与仁国。以礼靖民，兵革休息。
meng'zhi'yi 蒙之颐：重译贺芝，来除我忧。善说遂良，与喜相求。
meng'zhi'da'guo 蒙之大过：膏泽肥壤，人民孔乐。宜利俱止，长安富贵。
meng'zhi'kan 蒙之坎：白龙黑虎，起鬐暴怒。战于涿鹿，蚩尤败走。居止不殆，君安其所。
meng'zhi'li 蒙之离：抱关传语，聋跛摧殆。众贱无下，灾殃所在。
meng'zhi'xian 蒙之咸：忧祸解除，喜至庆来。坐立欢门，与乐为邻。
meng'zhi'heng 蒙之恒：折锋载殳，舆马放休。狩军依营，天下安宁。
meng'zhi'dun 蒙之遯：至德之君，仁政且温。伊吕股肱，国富民安。
meng'zhi'da'zhaung 蒙之大壮：千里望城，不见山青。老兔虾蟆，远绝无家。
meng'zhi'jin 蒙之晋：有莘季女，为夏妃后。贵夫寿子，母字四海。
meng'zhi'ming'yi 蒙之明夷：不虞之患，祸至无门。奄忽暴卒，痛伤我心。
meng'zhi'jia'ren 蒙之家人：飞鹰退去，不食邻鸟。忧患解除，君主安居。
meng'zhi'kui 蒙之睽：跮蹉侧跌，申酉为祟。亥戌灭明，颜子隐藏。
meng'zhi'jian 蒙之蹇：司录凭怒，谋议无道。商民失政，殷人乏祀。
meng'zhi'jie 蒙之解：望鷄得雉，冀马获驹。大德生少，有瘳从居。
meng'zhi'sun 蒙之损：忉忉怛怛，如将不活。黍稷之恩，灵辄以存。
meng'zhi'yi 蒙之益：莫莫辑辑，夜作昼匿。谋议我资，来攻我室。空尽我财，几无以食。
meng'zhi'kuai 蒙之夬：天之所坏，不可强支。众口指笑，虽贵必危。
meng'zhi'gou 蒙之姤：目动睫瞤，喜来加身。举家蒙欢，吉利无殃。
meng'zhi'cui 蒙之萃：鼋羹芬香，染指弗尝。口饥于手，子公恨馋。
meng'zhi'sheng 蒙之升：天福所丰，兆如飞龙。成子得志，六三以兴。
meng'zhi'kun 蒙之困：氓伯以婚，抱布自媒。弃礼急情，卒罹悔忧。
meng'zhi'zhen 蒙之震：夏姬亲附，心听悦喜。利以搏取，无言不许。
meng'zhi'gen 蒙之艮：攫飯把肉。以就口食。所往必得。無有虛乏。
meng'zhi'jing 蒙之井：三人为旅，俱归北海。入门上堂，拜谒王母。劳赐我酒，欢乐无强。
meng'zhi'ge 蒙之革：愆淫旱疾，伤害稼穑。丧制病来，农人无食。
meng'zhi'ding 蒙之鼎：攫饭把肉，以就口食。所往必得，无有虚乏。
meng'zhi'jian 蒙之渐：鸟飞无翼，兔走折足。虽欲会同，未得所欲。
meng'zhi'gui'mei 蒙之归妺：体重飞难，不得逾关，不离室垣。
meng'zhi'feng 蒙之丰：四雄并处，人民愁苦。拥兵西东，不得安所。
meng'zhi'lv 蒙之旅：译重关牢，求解己忧。心感乃成，与喜俱居。
meng'zhi'xun 蒙之巽：患解忧除，王母相于。与喜俱来，使我安居。
meng'zhi'dui 蒙之兑：冬生不华，老女无家。霜冷蓬室，更为枯株。
meng'zhi'huan 蒙之涣：震栗恐惧，多所畏恶。行道留难，不可以步。
meng'zhi'jie 蒙之节：三人共妻，莫适为雌。子无名氏，公不可知。
meng'zhi'zhong'fu 蒙之中孚：早凋被霜，花叶不长。非时为灾，家受其殃。
meng'zhi'xiao'guo 蒙之小过：雉兔之东，狼虎所从。贪叨凶恶，不可止息。
meng'zhi'ji'ji 蒙之既济：马惊破车，主堕深沟。身死魂去，离其室庐。
meng'zhi'wei'ji 蒙之未济：山林麓薮，非人所往。鸟兽无礼，使我心苦。
xu'zhi'xu 需之需：久旱三年，草木不生。粢盛空之，无以供灵。
xu'zhi'gan 需之乾：火灭复息，君明其德。仁人可遇，身受利福。
xu'zhi'kun 需之坤：温山松柏，常茂不落。鸾凰以庇，得其欢乐。
xu'zhi'tun 需之屯：西诛不服，恃强负力。倍道趋敌，师徒败覆。
xu'zhi'meng 需之蒙：三涂五岳，阳城太室。神明所伏，独无兵革。
xu'zhi'song 需之讼：二牛生狗，以戌为母。荆夷上侵，姬伯出走。
xu'zhi'shi 需之师：凫游江海，役行千里。以为死亡，复见空素。长主凶忧。
xu'zhi'bi 需之比：太乙驾骝，从天上来。徵君叔季，封为鲁侯。无有凶忧。
xu'zhi'xiao'xu 需之小畜：紝绩独居，寡处无夫。阴阳失忘，为人仆使。
xu'zhi'lv 需之履：兵征大宛，北出玉门。与胡寇战，平城道西。七日绝粮，身几不全。
xu'zhi'tai 需之泰：楚灵暴虐，罢极民力。祸起乾溪，弃疾作毒。扶仗奔逃，身死亥室。
xu'zhi'pi 需之否：雌单独居，归其本巢。毛羽憔悴，志如死灰。
xu'zhi'tong'ren 需之同人：两矛相刺，勇力钧敌。交绥结和，不破不缺。
xu'zhi'da'you 需之大有：乘船渡济，载水逢火。赖幸免祸，蒙我生全。
xu'zhi'qian 需之谦：丧宠溢尤，政倾家覆。我宗失国，秦灭周室。
xu'zhi'yu 需之豫：冬无藏冰，春阳不通。阴流为贼，国被其殃。
xu'zhi'sui 需之随：田鼠野鸡，意常欲逃。拘制笼槛，不得动摇。
xu'zhi'gu 需之蛊：佩玉蕊兮，无所系之。旨酒一盛，莫与笑语。孤寡独特，常愁忧苦。
xu'zhi'lin 需之临：没游源口，求鲛为宝。家危自惧，复出生道。
xu'zhi'guan 需之观：河水孔穴，坏败我室。水深无岸，鱼鳖倾侧。
xu'zhi'ke'shi 需之噬嗑：教羊牧兔，使鱼捕鼠。任非其人，费日无功。
xu'zhi'ben 需之贲：升户入室，就温燠食。冰冻北陆，不能相贼。
xu'zhi'bo 需之剥：孤竹之墟，老妇无夫。伤于蒺藜，不见少妻。东郭堂姜，武氏破亡。
xu'zhi'fu 需之复：凶祸灾殃，日益明彰。福不可厘，三郤夷伤。
xu'zhi'wu'wang 需之无妄：载璧秉圭，请命于河。周公作誓，冲人瘳愈。
xu'zhi'da'xu 需之大畜：鸟升鹊举，照临东海。龙降庭坚，为陶叔后。封圻英六，履禄绥厚。
xu'zhi'yi 需之颐：危坐至暮，请求不得。膏泽不降，政戾民忒。
xu'zhi'da'guo 需之大过：宜昌娶妇，东家歌舞。宴乐有序，长乐嘉喜。
xu'zhi'kan 需之坎：凿井求玉，非卞氏宝。名困身辱，劳无所得。
xu'zhi'li 需之离：鹄思其雄，欲随凤东。顺理羽翼，出次须日。中留北邑，复反其室。
xu'zhi'xian 需之咸：早霜晚雪，伤害禾麦。损功弃力，饥无所食。
xu'zhi'heng 需之恒：蝙螺生子，深目黑丑。虽饰相就，众人莫取。
xu'zhi'dun 需之遯：去如飞鸿，避凶且东。遂得全脱，与福相逢。
xu'zhi'da'zhaung 需之大壮：婚姻合配，同枕共牢。以降休嘉，子孙封侯。
xu'zhi'jin 需之晋：咸阳辰巳，长安戌亥。丘陵生止，非鱼鰌市。不可辞阻，终无悔咎。
xu'zhi'ming'yi 需之明夷：螟?为贼，害我五谷。箪食空虚，家无所食。
xu'zhi'jia'ren 需之家人：谋恩拜德，东归吾国。慷慨宴笑，欢乐有福。
xu'zhi'kui 需之睽：斋具赎狸，不听我辞。系于虎须，牵不得来。
xu'zhi'jian 需之蹇：比目附翼，欢乐相得。行止集周，终不离忒。
xu'zhi'jie 需之解：一指食肉，口无所得。染其鼎鼐，舌馋于腹。
xu'zhi'sun 需之损：曳纶江海，钓挂鲂鲤。王孙得利，以享仲友。
xu'zhi'yi 需之益：商纣牧野，颠败所在。赋敛重数，黎元愁苦。
kun'zhi'guan 需之夬：北辰紫宫，衣冠立中。含和建德，常受天福。
xu'zhi'gou 需之姤：轻战尚勇，不知兵权。为敌所制，从师北奔。
